thread_key,target_name,target_status,target_match_kind,target_match_basis,target_candidate_content_count,target_image_id,target_source_ephysFN,target_source_relpath,target_asset,target_asset_sha256
Alfa-12022021-004#thread000,08-cat-cancer-sq,resolved,normalized exact,validated repeat-source session,1,35e6858324ef4338b32e3d4b,Alfa-12022021-002,2020-CosineEvol/2021-02-12-Alfa-refRepr/08-cat-cancer-sq.jpeg,/targets/35e6858324ef4338b32e3d4b.webp,88579c45071400795b8210254a9201bb2de0e28cee19d9086ca8a45ee0c902cd
Alfa-12022021-005#thread000,08-cat-cancer-sq,resolved,normalized exact,validated repeat-source session,1,35e6858324ef4338b32e3d4b,Alfa-12022021-002,2020-CosineEvol/2021-02-12-Alfa-refRepr/08-cat-cancer-sq.jpeg,/targets/35e6858324ef4338b32e3d4b.webp,88579c45071400795b8210254a9201bb2de0e28cee19d9086ca8a45ee0c902cd
Alfa-12022021-006#thread000,08-cat-cancer-sq,resolved,normalized exact,validated repeat-source session,1,35e6858324ef4338b32e3d4b,Alfa-12022021-002,2020-CosineEvol/2021-02-12-Alfa-refRepr/08-cat-cancer-sq.jpeg,/targets/35e6858324ef4338b32e3d4b.webp,88579c45071400795b8210254a9201bb2de0e28cee19d9086ca8a45ee0c902cd
Alfa-18022021-005#thread000,08-cat-cancer-sq,resolved,normalized exact,validated repeat-source session,1,a9f5968bd333d89dd66c8a17,Alfa-18022021-002,2020-CosineEvol/2021-02-18-Alfa-refRepr/08-cat-cancer-sq.jpeg,/targets/a9f5968bd333d89dd66c8a17.webp,88579c45071400795b8210254a9201bb2de0e28cee19d9086ca8a45ee0c902cd
Alfa-18022021-006#thread000,08-cat-cancer-sq,resolved,normalized exact,validated repeat-source session,1,a9f5968bd333d89dd66c8a17,Alfa-18022021-002,2020-CosineEvol/2021-02-18-Alfa-refRepr/08-cat-cancer-sq.jpeg,/targets/a9f5968bd333d89dd66c8a17.webp,88579c45071400795b8210254a9201bb2de0e28cee19d9086ca8a45ee0c902cd
Alfa-25022021-005#thread000,09,resolved,normalized exact,validated repeat-source session,1,65bbdae13b760e8f2475cb95,Alfa-25022021-003,2020-CosineEvol/2021-02-25-Alfa-refRepr/09.jpg,/targets/65bbdae13b760e8f2475cb95.webp,66911257bb196724372321c5643d85821d60947339fdf89404a33be1818ca756
Alfa-25022021-006#thread000,09,resolved,normalized exact,validated repeat-source session,1,65bbdae13b760e8f2475cb95,Alfa-25022021-003,2020-CosineEvol/2021-02-25-Alfa-refRepr/09.jpg,/targets/65bbdae13b760e8f2475cb95.webp,66911257bb196724372321c5643d85821d60947339fdf89404a33be1818ca756
Alfa-25022021-007#thread000,09,resolved,normalized exact,validated repeat-source session,1,65bbdae13b760e8f2475cb95,Alfa-25022021-003,2020-CosineEvol/2021-02-25-Alfa-refRepr/09.jpg,/targets/65bbdae13b760e8f2475cb95.webp,66911257bb196724372321c5643d85821d60947339fdf89404a33be1818ca756
Alfa-02032021-003#thread000,n03100240_13397,resolved,normalized exact,validated repeat-source session,1,51fb9a2654a545d549d5816a,Alfa-02032021-002,2020-CosineEvol/2021-03-02-Alfa-refRepr/n03100240_13397.bmp,/targets/51fb9a2654a545d549d5816a.webp,d7c98692851440df56d037b142d4b82f2481086aabae1c3939541165ad74c0ee
Alfa-02032021-004#thread000,n03100240_13397,resolved,normalized exact,validated repeat-source session,1,51fb9a2654a545d549d5816a,Alfa-02032021-002,2020-CosineEvol/2021-03-02-Alfa-refRepr/n03100240_13397.bmp,/targets/51fb9a2654a545d549d5816a.webp,d7c98692851440df56d037b142d4b82f2481086aabae1c3939541165ad74c0ee
